Id,Country,Medal,mixed,sumcount
49,Iran,Bronze,IranBronze,12
49,Iran,Silver,IranSilver,8
49,Iran,Gold,IranGold,15
50,Ireland,Bronze,IrelandBronze,6
50,Ireland,Silver,IrelandSilver,8
50,Ireland,Gold,IrelandGold,10
51,Israel,Bronze,IsraelBronze,5
51,Israel,Silver,IsraelSilver,1
51,Israel,Gold,IsraelGold,1
52,Italy,Bronze,ItalyBronze,4670
52,Italy,Gold,ItalyGold,2999
52,Italy,Silver,ItalySilver,3791
53,Jamaica,Gold,JamaicaGold,119
53,Jamaica,Silver,JamaicaSilver,266
53,Jamaica,Bronze,JamaicaBronze,300
54,Japan,Bronze,JapanBronze,5884
54,Japan,Gold,JapanGold,1754
54,Japan,Silver,JapanSilver,2270
55,Kazakhstan,Bronze,KazakhstanBronze,74
55,Kazakhstan,Gold,KazakhstanGold,23
55,Kazakhstan,Silver,KazakhstanSilver,64
56,Kenya,Bronze,KenyaBronze,45
56,Kenya,Gold,KenyaGold,72
56,Kenya,Silver,KenyaSilver,77
57,"Korea, North",Gold,"Korea, NorthGold",25
57,"Korea, North",Silver,"Korea, NorthSilver",29
57,"Korea, North",Bronze,"Korea, NorthBronze",63
58,"Korea, South",Bronze,"Korea, SouthBronze",2724
58,"Korea, South",Gold,"Korea, SouthGold",3726
58,"Korea, South",Silver,"Korea, SouthSilver",6218
59,Kuwait,Bronze,KuwaitBronze,1
60,Kyrgyzstan,Bronze,KyrgyzstanBronze,2
60,Kyrgyzstan,Silver,KyrgyzstanSilver,1
61,Latvia,Bronze,LatviaBronze,3
61,Latvia,Silver,LatviaSilver,23
61,Latvia,Gold,LatviaGold,2
62,Lebanon,Bronze,LebanonBronze,1
63,Lithuania,Bronze,LithuaniaBronze,522
63,Lithuania,Gold,LithuaniaGold,6
63,Lithuania,Silver,LithuaniaSilver,8
64,Macedonia,Bronze,MacedoniaBronze,1
65,Malaysia,Bronze,MalaysiaBronze,5
65,Malaysia,Silver,MalaysiaSilver,5
66,Mauritius,Bronze,MauritiusBronze,1
67,Mexico,Bronze,MexicoBronze,142
67,Mexico,Gold,MexicoGold,10
67,Mexico,Silver,MexicoSilver,24
68,Moldova,Bronze,MoldovaBronze,3
68,Moldova,Silver,MoldovaSilver,5
69,Mongolia,Silver,MongoliaSilver,9
69,Mongolia,Bronze,MongoliaBronze,11
69,Mongolia,Gold,MongoliaGold,4
70,Morocco,Gold,MoroccoGold,10
70,Morocco,Bronze,MoroccoBronze,26
70,Morocco,Silver,MoroccoSilver,4
71,Mozambique,Bronze,MozambiqueBronze,1
71,Mozambique,Gold,MozambiqueGold,1
72,Namibia,Silver,NamibiaSilver,8
73,Netherlands,Bronze,NetherlandsBronze,3455
73,Netherlands,Silver,NetherlandsSilver,4212
73,Netherlands,Gold,NetherlandsGold,4223
74,Netherlands Antilles*,Silver,Netherlands Antilles*Silver,1
75,New Zealand,Bronze,New ZealandBronze,487
75,New Zealand,Gold,New ZealandGold,604
75,New Zealand,Silver,New ZealandSilver,111
76,Nigeria,Bronze,NigeriaBronze,141
76,Nigeria,Silver,NigeriaSilver,454
76,Nigeria,Gold,NigeriaGold,361
77,Norway,Gold,NorwayGold,738
77,Norway,Silver,NorwaySilver,908
77,Norway,Bronze,NorwayBronze,776
78,Pakistan,Bronze,PakistanBronze,513
78,Pakistan,Gold,PakistanGold,256
79,Panama,Gold,PanamaGold,1
80,Paraguay,Silver,ParaguaySilver,289
81,Peru,Silver,PeruSilver,146
82,Philippines,Bronze,PhilippinesBronze,2
82,Philippines,Silver,PhilippinesSilver,1
83,Poland,Bronze,PolandBronze,1756
83,Poland,Gold,PolandGold,512
83,Poland,Silver,PolandSilver,2193
84,Portugal,Silver,PortugalSilver,9
84,Portugal,Bronze,PortugalBronze,13
84,Portugal,Gold,PortugalGold,4
85,Puerto Rico*,Bronze,Puerto Rico*Bronze,4
85,Puerto Rico*,Silver,Puerto Rico*Silver,1
86,Qatar,Bronze,QatarBronze,2
87,Romania,Bronze,RomaniaBronze,5390
87,Romania,Gold,RomaniaGold,3245
87,Romania,Silver,RomaniaSilver,3993
88,Russia,Bronze,RussiaBronze,16424
88,Russia,Gold,RussiaGold,9710
88,Russia,Silver,RussiaSilver,10986
89,Saudi Arabia,Bronze,Saudi ArabiaBronze,1
89,Saudi Arabia,Silver,Saudi ArabiaSilver,1
90,Senegal,Silver,SenegalSilver,1
91,Serbia,Silver,SerbiaSilver,197
91,Serbia,Bronze,SerbiaBronze,196
92,Singapore,Silver,SingaporeSilver,9
93,Slovakia,Bronze,SlovakiaBronze,28
93,Slovakia,Gold,SlovakiaGold,30
